ano,url,titulo,data,id,slug
2022,https://www.ufrn.br/imprensa/noticias/58769/eaj-sedia-final-do-3o-simposio-potiguar-de-zootecnia,EAJ sedia final do 3º Simpósio Potiguar de Zootecnia,16/05/2022 10:55,58769,eaj-sedia-final-do-3o-simposio-potiguar-de-zootecnia
2022,https://www.ufrn.br/imprensa/noticias/58359/eaj-realizou-a-semana-internacional-de-compostagem,EAJ realizou a Semana Internacional de Compostagem,05/05/2022 16:35,58359,eaj-realizou-a-semana-internacional-de-compostagem
2022,https://www.ufrn.br/imprensa/noticias/58317/aluna-da-eaj-conquista-ouro-na-1a-feira-interativa-de-tecnologia-e-ciencia-brasil,Aluna da EAJ conquista ouro na 1ª Feira Interativa de Tecnologia e Ciência Brasil,05/05/2022 14:29,58317,aluna-da-eaj-conquista-ouro-na-1a-feira-interativa-de-tecnologia-e-ciencia-brasil
2022,https://www.ufrn.br/imprensa/noticias/58231/eaj-inaugura-bloco-de-aulas-e-residencia,EAJ inaugura bloco de aulas e residência,04/05/2022 12:53,58231,eaj-inaugura-bloco-de-aulas-e-residencia
2022,https://www.ufrn.br/imprensa/noticias/57950/eaj-recebe-inscricoes-para-professores-no-programa-novos-caminhos,EAJ recebe inscrições para professores no programa Novos Caminhos,27/04/2022 14:44,57950,eaj-recebe-inscricoes-para-professores-no-programa-novos-caminhos
2022,https://www.ufrn.br/imprensa/noticias/57895/professora-da-eaj-debate-importancia-da-caatinga-no-senado,Professora da EAJ debate importância da Caatinga no Senado,26/04/2022 17:12,57895,professora-da-eaj-debate-importancia-da-caatinga-no-senado
2022,https://www.ufrn.br/imprensa/noticias/57541/eaj-oferece-vagas-em-curso-profissionalizante-gratuito,EAJ oferece vagas em curso profissionalizante gratuito,12/04/2022 15:48,57541,eaj-oferece-vagas-em-curso-profissionalizante-gratuito
2022,https://www.ufrn.br/imprensa/noticias/57316/eaj-entrega-medalhas-das-olimpiadas-do-conhecimento,EAJ entrega medalhas das Olimpíadas do Conhecimento,06/04/2022 16:35,57316,eaj-entrega-medalhas-das-olimpiadas-do-conhecimento
2022,https://www.ufrn.br/imprensa/noticias/57179/atividades-presenciais-entusiasmam-comunidade-academica-na-eaj,Atividades presenciais entusiasmam comunidade acadêmica na EAJ,01/04/2022 16:54,57179,atividades-presenciais-entusiasmam-comunidade-academica-na-eaj
2022,https://www.ufrn.br/imprensa/noticias/57165/eaj-recebe-cavalos-doados-pela-abqm-e-ande-brasil,EAJ recebe cavalos doados pela ABQM e Ande Brasil,01/04/2022 16:26,57165,eaj-recebe-cavalos-doados-pela-abqm-e-ande-brasil
2022,https://www.ufrn.br/imprensa/noticias/57068/comunidade-da-ufrn-comemora-inicio-do-2022,Comunidade da UFRN comemora início do 2022,30/03/2022 17:49,57068,comunidade-da-ufrn-comemora-inicio-do-2022
2022,https://www.ufrn.br/imprensa/noticias/57046/reitoria-conversa-com-estudantes-da-eaj,Reitoria conversa com estudantes da EAJ,30/03/2022 16:39,57046,reitoria-conversa-com-estudantes-da-eaj
